"1"	"321"
"3"	"321"
"1"	"322"
"3"	"322"
"1"	"323"
"3"	"323"
"1"	"324"
"1"	"325"
"1"	"326"
"3"	"327"
"3"	"328"
"1"	"329"
"3"	"329"
"1"	"330"
"1"	"331"
"1"	"332"
"1"	"333"
"1"	"334"
"1"	"335"
"1"	"336"
"1"	"337"
"3"	"337"
"1"	"338"
"3"	"338"
"1"	"339"
"3"	"339"
"1"	"340"
"3"	"340"
"1"	"341"
"3"	"341"
"1"	"342"
"3"	"342"
"1"	"343"
"3"	"343"
"1"	"346"
"1"	"348"
"3"	"348"
"1"	"349"
"1"	"350"
"1"	"351"
"1"	"352"
"1"	"353"
"1"	"354"
"3"	"354"
"1"	"355"
"3"	"355"
"1"	"356"
"1"	"357"
"1"	"358"
"3"	"358"
"1"	"359"
"3"	"359"
"1"	"360"
"3"	"360"
"1"	"361"
"3"	"361"
"1"	"362"
"3"	"362"
"1"	"363"
"1"	"364"
"1"	"365"
"1"	"366"
"1"	"367"
"1"	"368"
"1"	"369"
"1"	"370"
"1"	"371"
"1"	"372"
"1"	"373"
"1"	"374"
"1"	"375"
"1"	"376"
"1"	"377"
"1"	"378"
"3"	"378"
"1"	"379"
"3"	"379"
"1"	"380"
"3"	"380"
"1"	"381"
"3"	"381"
"1"	"382"
"3"	"382"
"1"	"383"
"1"	"384"
"1"	"385"
"3"	"385"
"1"	"386"
"3"	"386"
"1"	"387"
"3"	"387"
"1"	"388"
"1"	"389"
"1"	"390"
"3"	"390"
"1"	"391"
"1"	"392"
"1"	"393"
"3"	"393"
"1"	"395"
"1"	"396"
"3"	"396"
"1"	"397"
"3"	"397"
"1"	"398"
"3"	"398"
"1"	"399"
"1"	"401"
"3"	"401"
"1"	"402"
"3"	"402"
